,satis_tarix
0,2021-12-03
1,2021-12-04
2,2021-12-05
3,2021-12-06
4,2021-12-07
5,2021-12-08
6,2021-12-09
7,2021-12-10
8,2021-12-11
9,2021-12-12
10,2021-12-13
11,2021-12-14
12,2021-12-15
13,2021-12-16
14,2021-12-17
15,2021-12-18
16,2021-12-19
17,2021-12-20
18,2021-12-21
19,2021-12-22
20,2021-12-23
21,2021-12-24
22,2021-12-25
23,2021-12-26
24,2021-12-27
25,2021-12-28
26,2021-12-29
27,2021-12-30
28,2021-12-31
29,2022-01-01
30,2022-01-02
31,2022-01-03
32,2022-01-04
33,2022-01-05
34,2022-01-06
35,2022-01-07
36,2022-01-08
37,2022-01-09
38,2022-01-10
39,2022-01-11
40,2022-01-12
41,2022-01-13
42,2022-01-14
43,2022-01-15
44,2022-01-16
45,2022-01-17
46,2022-01-18
47,2022-01-19
48,2022-01-20
49,2022-01-21
50,2022-01-22
51,2022-01-23
52,2022-01-24
53,2022-01-25
54,2022-01-26
55,2022-01-27
56,2022-01-28
57,2022-01-29
58,2022-01-30
59,2022-01-31
60,2022-02-01
61,2022-02-02
62,2022-02-03
63,2022-02-04
64,2022-02-05
65,2022-02-06
66,2022-02-07
67,2022-02-08
68,2022-02-09
69,2022-02-10
70,2022-02-11
71,2022-02-12
72,2022-02-13
73,2022-02-14
74,2022-02-15
75,2022-02-16
76,2022-02-17
77,2022-02-18
78,2022-02-19
79,2022-02-20
80,2022-02-21
81,2022-02-22
82,2022-02-23
83,2022-02-24
84,2022-02-25
85,2022-02-26
86,2022-02-27
87,2022-02-28
88,2022-03-01
89,2022-03-02
90,2022-03-03
91,2022-03-04
92,2022-03-05
93,2022-03-06
94,2022-03-07
95,2022-03-08
96,2022-03-09
97,2022-03-10
98,2022-03-11
99,2022-03-12
100,2022-03-13
101,2022-03-14
102,2022-03-15
103,2022-03-16
104,2022-03-17
105,2022-03-18
106,2022-03-19
107,2022-03-20
108,2022-03-21
109,2022-03-22
110,2022-03-23
111,2022-03-24
112,2022-03-25
113,2022-03-26
114,2022-03-27
115,2022-03-28
116,2022-03-29
117,2022-03-30
118,2022-03-31
119,2022-04-01
120,2022-04-02
121,2022-04-03
122,2022-04-04
123,2022-04-05
124,2022-04-06
125,2022-04-07
126,2022-04-08
127,2022-04-09
128,2022-04-10
129,2022-04-11
130,2022-04-12
131,2022-04-13
132,2022-04-14
133,2022-04-15
134,2022-04-16
135,2022-04-17
136,2022-04-18
137,2022-04-19
138,2022-04-20
139,2022-04-21
140,2022-04-22
141,2022-04-23
142,2022-04-24
143,2022-04-25
144,2022-04-26
145,2022-04-27
146,2022-04-28
147,2022-04-29
148,2022-04-30
149,2022-05-01
150,2022-05-02
151,2022-05-03
152,2022-05-04
153,2022-05-05
154,2022-05-06
155,2022-05-07
156,2022-05-08
157,2022-05-09
158,2022-05-10
159,2022-05-11
160,2022-05-12
161,2022-05-13
162,2022-05-14
163,2022-05-15
164,2022-05-16
165,2022-05-17
166,2022-05-18
167,2022-05-19
168,2022-05-20
169,2022-05-21
170,2022-05-22
171,2022-05-23
172,2022-05-24
173,2022-05-25
174,2022-05-26
175,2022-05-27
176,2022-05-28
177,2022-05-29
178,2022-05-30
179,2022-05-31
180,2022-06-01
181,2022-06-02
182,2022-06-03
183,2022-06-04
184,2022-06-05
185,2022-06-06
186,2022-06-07
187,2022-06-08
188,2022-06-09
189,2022-06-10
190,2022-06-11
191,2022-06-12
192,2022-06-13
193,2022-06-14
194,2022-06-15
195,2022-06-16
196,2022-06-17
197,2022-06-18
198,2022-06-19
199,2022-06-20
200,2022-06-21
201,2022-06-22
202,2022-06-23
203,2022-06-24
204,2022-06-25
205,2022-06-26
206,2022-06-27
207,2022-06-28
208,2022-06-29
209,2022-06-30
210,2022-07-01
211,2022-07-02
212,2022-07-03
213,2022-07-04
214,2022-07-05
215,2022-07-06
216,2022-07-07
217,2022-07-08
218,2022-07-09
219,2022-07-10
220,2022-07-11
221,2022-07-12
222,2022-07-13
223,2022-07-14
224,2022-07-15
225,2022-07-16
226,2022-07-17
227,2022-07-18
228,2022-07-19
229,2022-07-20
230,2022-07-21
231,2022-07-22
232,2022-07-23
233,2022-07-24
234,2022-07-25
235,2022-07-26
236,2022-07-27
237,2022-07-28
238,2022-07-29
239,2022-07-30
240,2022-07-31
241,2022-08-01
242,2022-08-02
243,2022-08-03
244,2022-08-04
245,2022-08-05
246,2022-08-06
247,2022-08-07
248,2022-08-08
249,2022-08-09
250,2022-08-10
251,2022-08-11
252,2022-08-12
253,2022-08-13
254,2022-08-14
255,2022-08-15
256,2022-08-16
257,2022-08-17
258,2022-08-18
259,2022-08-19
260,2022-08-20
261,2022-08-21
262,2022-08-22
263,2022-08-23
264,2022-08-24
265,2022-08-25
266,2022-08-26
267,2022-08-27
268,2022-08-28
269,2022-08-29
270,2022-08-30
271,2022-08-31
272,2022-09-01
273,2022-09-02
274,2022-09-03
275,2022-09-04
276,2022-09-05
277,2022-09-06
278,2022-09-07
279,2022-09-08
280,2022-09-09
281,2022-09-10
282,2022-09-11
283,2022-09-12
284,2022-09-13
285,2022-09-14
286,2022-09-15
287,2022-09-16
288,2022-09-17
289,2022-09-18
290,2022-09-19
291,2022-09-20
292,2022-09-21
293,2022-09-22
294,2022-09-23
295,2022-09-24
296,2022-09-25
297,2022-09-26
298,2022-09-27
299,2022-09-28
300,2022-09-29
301,2022-09-30
302,2022-10-01
303,2022-10-02
304,2022-10-03
305,2022-10-04
306,2022-10-05
307,2022-10-06
308,2022-10-07
309,2022-10-08
310,2022-10-09
311,2022-10-10
312,2022-10-11
313,2022-10-12
314,2022-10-13
315,2022-10-14
316,2022-10-15
317,2022-10-16
318,2022-10-17
319,2022-10-18
320,2022-10-19
321,2022-10-20
322,2022-10-21
323,2022-10-22
324,2022-10-23
325,2022-10-24
326,2022-10-25
327,2022-10-26
328,2022-10-27
329,2022-10-28
330,2022-10-29
331,2022-10-30
332,2022-10-31
333,2022-11-01
334,2022-11-02
335,2022-11-03
336,2022-11-04
337,2022-11-05
338,2022-11-06
339,2022-11-07
340,2022-11-08
341,2022-11-09
342,2022-11-10
343,2022-11-11
344,2022-11-12
345,2022-11-13
346,2022-11-14
347,2022-11-15
348,2022-11-16
349,2022-11-17
350,2022-11-18
351,2022-11-19
352,2022-11-20
353,2022-11-21
354,2022-11-22
355,2022-11-23
356,2022-11-24
357,2022-11-25
358,2022-11-26
359,2022-11-27
360,2022-11-28
361,2022-11-29
362,2022-11-30
363,2022-12-01
364,2022-12-02
365,2022-12-03
